Snail,Exposure,Competitor_Size,Week,Length_F,Cercs,F_last_alive,Alive,Length_C,Replaced,C_Eggs,C_Cercs,Time1,Time2,Event,Type
2,Y,0,0,3.6,0,0,1,,0,0,0,15,16,0,interval
2,Y,0,1,6.2,0,0,1,,0,0,0,15,16,0,interval
2,Y,0,2,10.2,0,0,1,,0,0,0,15,16,0,interval
2,Y,0,3,11.7,0,0,1,,0,0,0,15,16,0,interval
2,Y,0,4,12.4,180,0,1,,0,0,180,15,16,0,interval
2,Y,0,5,12.5,1499,0,1,,0,0,1679,15,16,0,interval
2,Y,0,6,13.1,2099,0,1,,0,0,3778,15,16,0,interval
2,Y,0,7,13.5,3591,0,1,,0,0,7369,15,16,0,interval
2,Y,0,8,13.8,1860,0,1,,0,0,9229,15,16,0,interval
2,Y,0,9,14,1620,0,1,,0,0,10849,15,16,0,interval
2,Y,0,10,14.4,1044,0,1,,0,0,11893,15,16,0,interval
2,Y,0,11,14.3,579,0,1,,0,0,12472,15,16,0,interval
2,Y,0,12,14.5,278,0,1,,0,0,12750,15,16,0,interval
2,Y,0,13,14.7,337,0,1,,0,0,13087,15,16,0,interval
2,Y,0,14,14.7,573,0,1,,0,0,13660,15,16,0,interval
2,Y,0,15,15.1,642,1,1,,0,0,14302,15,16,0,interval
3,Y,0,0,3.7,0,0,1,,0,0,0,12,13,3,interval
3,Y,0,1,7.1,0,0,1,,0,0,0,12,13,3,interval
3,Y,0,2,10.2,0,0,1,,0,0,0,12,13,3,interval
3,Y,0,3,12,0,0,1,,0,0,0,12,13,3,interval
3,Y,0,4,12.5,12,0,1,,0,0,12,12,13,3,interval
3,Y,0,5,13,319,0,1,,0,0,331,12,13,3,interval
3,Y,0,6,13.6,236,0,1,,0,0,567,12,13,3,interval
3,Y,0,7,13.9,337,0,1,,0,0,904,12,13,3,interval
3,Y,0,8,14.5,48,0,1,,0,0,952,12,13,3,interval
3,Y,0,9,15,21,0,1,,0,0,973,12,13,3,interval
3,Y,0,10,15.5,13,0,1,,0,0,986,12,13,3,interval
3,Y,0,11,15.4,13,0,1,,0,0,999,12,13,3,interval
3,Y,0,12,15.6,3,1,1,,0,0,1002,12,13,3,interval
3,Y,0,13,15.6,,,0,,,0,,12,13,3,interval
3,Y,0,14,,,,0,,,,,12,13,3,interval
3,Y,0,15,,,,0,,,,,12,13,3,interval
6,Y,0,0,4.3,0,0,1,,0,0,0,15,16,0,interval
6,Y,0,1,7.7,0,0,1,,0,0,0,15,16,0,interval
6,Y,0,2,11.2,0,0,1,,0,0,0,15,16,0,interval
6,Y,0,3,13,0,0,1,,0,0,0,15,16,0,interval
6,Y,0,4,14.5,0,0,1,,0,0,0,15,16,0,interval
6,Y,0,5,15,226,0,1,,0,0,226,15,16,0,interval
6,Y,0,6,15.3,680,0,1,,0,0,906,15,16,0,interval
6,Y,0,7,15.4,1398,0,1,,0,0,2304,15,16,0,interval
6,Y,0,8,15.8,677,0,1,,0,0,2981,15,16,0,interval
6,Y,0,9,16,1336,0,1,,0,0,4317,15,16,0,interval
6,Y,0,10,16.4,1041,0,1,,0,0,5358,15,16,0,interval
6,Y,0,11,16.2,809,0,1,,0,0,6167,15,16,0,interval
6,Y,0,12,16.5,493,0,1,,0,0,6660,15,16,0,interval
6,Y,0,13,16.5,344,0,1,,0,0,7004,15,16,0,interval
6,Y,0,14,16.6,600,0,1,,0,0,7604,15,16,0,interval
6,Y,0,15,16.9,645,1,1,,0,0,8249,15,16,0,interval
8,Y,0,0,4.1,0,0,1,,0,0,0,15,16,0,interval
8,Y,0,1,7.4,0,0,1,,0,0,0,15,16,0,interval
8,Y,0,2,10.2,0,0,1,,0,0,0,15,16,0,interval
8,Y,0,3,11.7,0,0,1,,0,0,0,15,16,0,interval
8,Y,0,4,12.5,149,0,1,,0,0,149,15,16,0,interval
8,Y,0,5,12.6,1117,0,1,,0,0,1266,15,16,0,interval
8,Y,0,6,12.9,930,0,1,,0,0,2196,15,16,0,interval
8,Y,0,7,13.3,645,0,1,,0,0,2841,15,16,0,interval
8,Y,0,8,13.4,409,0,1,,0,0,3250,15,16,0,interval
8,Y,0,9,13.7,368,0,1,,0,0,3618,15,16,0,interval
8,Y,0,10,14.2,753,0,1,,0,0,4371,15,16,0,interval
8,Y,0,11,14.2,1239,0,1,,0,0,5610,15,16,0,interval
8,Y,0,12,14.5,354,0,1,,0,0,5964,15,16,0,interval
8,Y,0,13,14.7,715,0,1,,0,0,6679,15,16,0,interval
8,Y,0,14,15,1947,0,1,,0,0,8626,15,16,0,interval
8,Y,0,15,15.2,930,1,1,,0,0,9556,15,16,0,interval
9,Y,0,0,3.8,0,0,1,,0,0,0,10,11,3,interval
9,Y,0,1,6.3,0,0,1,,0,0,0,10,11,3,interval
9,Y,0,2,9.8,0,0,1,,0,0,0,10,11,3,interval
9,Y,0,3,11.3,0,0,1,,0,0,0,10,11,3,interval
9,Y,0,4,11.9,94,0,1,,0,0,94,10,11,3,interval
9,Y,0,5,12,1103,0,1,,0,0,1197,10,11,3,interval
9,Y,0,6,12.1,305,0,1,,0,0,1502,10,11,3,interval
9,Y,0,7,12.4,1058,0,1,,0,0,2560,10,11,3,interval
9,Y,0,8,12.5,1516,0,1,,0,0,4076,10,11,3,interval
9,Y,0,9,12.5,323,0,1,,0,0,4399,10,11,3,interval
9,Y,0,10,12.9,781,1,1,,0,0,5180,10,11,3,interval
9,Y,0,11,12.9,,,0,,,0,,10,11,3,interval
9,Y,0,12,,,,0,,,,,10,11,3,interval
9,Y,0,13,,,,0,,,,,10,11,3,interval
9,Y,0,14,,,,0,,,,,10,11,3,interval
9,Y,0,15,,,,0,,,,,10,11,3,interval
10,Y,0,0,3.9,0,0,1,,0,0,0,12,13,3,interval
10,Y,0,1,7.2,0,0,1,,0,0,0,12,13,3,interval
10,Y,0,2,10.1,0,0,1,,0,0,0,12,13,3,interval
10,Y,0,3,11.3,0,0,1,,0,0,0,12,13,3,interval
10,Y,0,4,12.2,45,0,1,,0,0,45,12,13,3,interval
10,Y,0,5,12.5,1423,0,1,,0,30,1468,12,13,3,interval
10,Y,0,6,12.8,618,0,1,,0,30,2086,12,13,3,interval
10,Y,0,7,12.8,3026,0,1,,0,30,5112,12,13,3,interval
10,Y,0,8,13,1038,0,1,,0,30,6150,12,13,3,interval
10,Y,0,9,13,2276,0,1,,0,30,8426,12,13,3,interval
10,Y,0,10,13.3,3314,0,1,,0,30,11740,12,13,3,interval
10,Y,0,11,12.9,201,0,1,,0,30,11941,12,13,3,interval
10,Y,0,12,13.4,371,1,1,,0,30,12312,12,13,3,interval
10,Y,0,13,13.4,,,0,,,30,,12,13,3,interval
10,Y,0,14,,,,0,,,,,12,13,3,interval
10,Y,0,15,,,,0,,,,,12,13,3,interval
11,Y,0,0,4.5,0,0,1,,0,0,0,15,16,0,interval
11,Y,0,1,7.7,0,0,1,,0,0,0,15,16,0,interval
11,Y,0,2,10.4,0,0,1,,0,0,0,15,16,0,interval
11,Y,0,3,11.8,0,0,1,,0,0,0,15,16,0,interval
11,Y,0,4,12.5,139,0,1,,0,0,139,15,16,0,interval
11,Y,0,5,12.5,663,0,1,,0,0,802,15,16,0,interval
11,Y,0,6,12.9,552,0,1,,0,0,1354,15,16,0,interval
11,Y,0,7,13.3,1013,0,1,,0,0,2367,15,16,0,interval
11,Y,0,8,13.5,600,0,1,,0,0,2967,15,16,0,interval
11,Y,0,9,13.5,451,0,1,,0,0,3418,15,16,0,interval
11,Y,0,10,13.7,552,0,1,,0,0,3970,15,16,0,interval
11,Y,0,11,13.7,926,0,1,,0,0,4896,15,16,0,interval
11,Y,0,12,14.3,413,0,1,,0,0,5309,15,16,0,interval
11,Y,0,13,14.4,347,0,1,,0,0,5656,15,16,0,interval
11,Y,0,14,14.4,385,0,1,,0,0,6041,15,16,0,interval
11,Y,0,15,14.6,833,1,1,,0,0,6874,15,16,0,interval
12,Y,0,0,4.2,0,0,1,,0,0,0,6,7,3,interval
12,Y,0,1,7.1,0,0,1,,0,0,0,6,7,3,interval
12,Y,0,2,10.1,0,0,1,,0,0,0,6,7,3,interval
12,Y,0,3,12.3,0,0,1,,0,0,0,6,7,3,interval
12,Y,0,4,12.9,29,0,1,,0,0,29,6,7,3,interval
12,Y,0,5,12.9,378,0,1,,0,0,407,6,7,3,interval
12,Y,0,6,12.9,465,1,1,,0,0,872,6,7,3,interval
12,Y,0,7,,,,0,,,,,6,7,3,interval
12,Y,0,8,,,,0,,,,,6,7,3,interval
12,Y,0,9,,,,0,,,,,6,7,3,interval
12,Y,0,10,,,,0,,,,,6,7,3,interval
12,Y,0,11,,,,0,,,,,6,7,3,interval
12,Y,0,12,,,,0,,,,,6,7,3,interval
12,Y,0,13,,,,0,,,,,6,7,3,interval
12,Y,0,14,,,,0,,,,,6,7,3,interval
12,Y,0,15,,,,0,,,,,6,7,3,interval
13,Y,0,0,4.3,0,0,1,,0,0,0,15,16,0,interval
13,Y,0,1,7,0,0,1,,0,0,0,15,16,0,interval
13,Y,0,2,10.5,0,0,1,,0,0,0,15,16,0,interval
13,Y,0,3,12.2,0,0,1,,0,0,0,15,16,0,interval
13,Y,0,4,12.7,20,0,1,,0,0,20,15,16,0,interval
13,Y,0,5,12.7,819,0,1,,0,0,839,15,16,0,interval
13,Y,0,6,13.2,337,0,1,,0,0,1176,15,16,0,interval
13,Y,0,7,13.8,1194,0,1,,0,0,2370,15,16,0,interval
13,Y,0,8,14.1,444,0,1,,0,0,2814,15,16,0,interval
13,Y,0,9,14,291,0,1,,0,0,3105,15,16,0,interval
13,Y,0,10,14.2,569,0,1,,0,0,3674,15,16,0,interval
13,Y,0,11,14.4,1201,0,1,,0,0,4875,15,16,0,interval
13,Y,0,12,14.9,826,0,1,,0,0,5701,15,16,0,interval
13,Y,0,13,15.1,437,0,1,,0,0,6138,15,16,0,interval
13,Y,0,14,15.3,815,0,1,,0,0,6953,15,16,0,interval
13,Y,0,15,15.5,142,1,1,,0,0,7095,15,16,0,interval
14,Y,0,0,4.4,0,0,1,,0,0,0,15,16,0,interval
14,Y,0,1,8.1,0,0,1,,0,0,0,15,16,0,interval
14,Y,0,2,10,0,0,1,,0,0,0,15,16,0,interval
14,Y,0,3,12.3,0,0,1,,0,0,0,15,16,0,interval
14,Y,0,4,13,7,0,1,,0,0,7,15,16,0,interval
14,Y,0,5,13.1,413,0,1,,0,0,420,15,16,0,interval
14,Y,0,6,13.9,215,0,1,,0,0,635,15,16,0,interval
14,Y,0,7,14.3,1048,0,1,,0,0,1683,15,16,0,interval
14,Y,0,8,14.4,795,0,1,,0,0,2478,15,16,0,interval
14,Y,0,9,14.3,437,0,1,,0,0,2915,15,16,0,interval
14,Y,0,10,14.8,781,0,1,,0,0,3696,15,16,0,interval
14,Y,0,11,14.6,583,0,1,,0,0,4279,15,16,0,interval
14,Y,0,12,14.9,194,0,1,,0,0,4473,15,16,0,interval
14,Y,0,13,15,236,0,1,,0,0,4709,15,16,0,interval
14,Y,0,14,15.2,510,0,1,,0,0,5219,15,16,0,interval
14,Y,0,15,15.2,729,1,1,,0,0,5948,15,16,0,interval
15,Y,0,0,4.2,0,0,1,,0,0,0,15,16,0,interval
15,Y,0,1,7.1,0,0,1,,0,0,0,15,16,0,interval
15,Y,0,2,10.2,0,0,1,,0,0,0,15,16,0,interval
15,Y,0,3,11.3,0,0,1,,0,0,0,15,16,0,interval
15,Y,0,4,11.7,330,0,1,,0,0,330,15,16,0,interval
15,Y,0,5,12.1,715,0,1,,0,3,1045,15,16,0,interval
15,Y,0,6,12.2,1260,0,1,,0,3,2305,15,16,0,interval
15,Y,0,7,12.5,1582,0,1,,0,3,3887,15,16,0,interval
15,Y,0,8,12.8,1176,0,1,,0,3,5063,15,16,0,interval
15,Y,0,9,12.8,746,0,1,,0,3,5809,15,16,0,interval
15,Y,0,10,13.2,1426,0,1,,0,3,7235,15,16,0,interval
15,Y,0,11,13.3,1721,0,1,,0,3,8956,15,16,0,interval
15,Y,0,12,13.6,1391,0,1,,0,3,10347,15,16,0,interval
15,Y,0,13,13.7,201,0,1,,0,3,10548,15,16,0,interval
15,Y,0,14,14.3,1128,0,1,,0,3,11676,15,16,0,interval
15,Y,0,15,14.5,1253,1,1,,0,7,12929,15,16,0,interval
16,Y,0,0,4.3,0,0,1,,0,0,0,13,14,3,interval
16,Y,0,1,7.2,0,0,1,,0,0,0,13,14,3,interval
16,Y,0,2,10.7,0,0,1,,0,0,0,13,14,3,interval
16,Y,0,3,12.3,0,0,1,,0,0,0,13,14,3,interval
16,Y,0,4,13.1,34,0,1,,0,0,34,13,14,3,interval
16,Y,0,5,13.6,1076,0,1,,0,0,1110,13,14,3,interval
16,Y,0,6,14.1,1315,0,1,,0,0,2425,13,14,3,interval
16,Y,0,7,15,1176,0,1,,0,0,3601,13,14,3,interval
16,Y,0,8,15.4,1797,0,1,,0,0,5398,13,14,3,interval
16,Y,0,9,15.4,729,0,1,,0,0,6127,13,14,3,interval
16,Y,0,10,15.9,947,0,1,,0,0,7074,13,14,3,interval
16,Y,0,11,16,378,0,1,,0,0,7452,13,14,3,interval
16,Y,0,12,16.4,434,0,1,,0,0,7886,13,14,3,interval
16,Y,0,13,16,260,1,1,,0,0,8146,13,14,3,interval
16,Y,0,14,16.1,,,0,,,0,,13,14,3,interval
16,Y,0,15,,,,0,,,,,13,14,3,interval
17,Y,0,0,4.3,0,0,1,,0,0,0,15,16,0,interval
17,Y,0,1,7.4,0,0,1,,0,0,0,15,16,0,interval
17,Y,0,2,10.5,0,0,1,,0,0,0,15,16,0,interval
17,Y,0,3,12,0,0,1,,0,0,0,15,16,0,interval
17,Y,0,4,12.9,17,0,1,,0,0,17,15,16,0,interval
17,Y,0,5,13.2,222,0,1,,0,0,239,15,16,0,interval
17,Y,0,6,13.5,278,0,1,,0,0,517,15,16,0,interval
17,Y,0,7,13.6,382,0,1,,0,0,899,15,16,0,interval
17,Y,0,8,13.6,305,0,1,,0,0,1204,15,16,0,interval
17,Y,0,9,13.8,239,0,1,,0,0,1443,15,16,0,interval
17,Y,0,10,14.3,219,0,1,,0,0,1662,15,16,0,interval
17,Y,0,11,14.4,493,0,1,,0,0,2155,15,16,0,interval
17,Y,0,12,14.6,562,0,1,,0,0,2717,15,16,0,interval
17,Y,0,13,14.6,357,0,1,,0,0,3074,15,16,0,interval
17,Y,0,14,14.6,809,0,1,,0,0,3883,15,16,0,interval
17,Y,0,15,14.9,1072,1,1,,0,0,4955,15,16,0,interval
18,Y,0,0,4,0,0,1,,0,0,0,15,16,0,interval
18,Y,0,1,6,0,0,1,,0,0,0,15,16,0,interval
18,Y,0,2,9.7,0,0,1,,0,0,0,15,16,0,interval
18,Y,0,3,11.2,0,0,1,,0,0,0,15,16,0,interval
18,Y,0,4,11.8,153,0,1,,0,0,153,15,16,0,interval
18,Y,0,5,12.4,701,0,1,,0,5,854,15,16,0,interval
18,Y,0,6,12.7,1263,0,1,,0,5,2117,15,16,0,interval
18,Y,0,7,12.9,1242,0,1,,0,5,3359,15,16,0,interval
18,Y,0,8,12.7,881,0,1,,0,5,4240,15,16,0,interval
18,Y,0,9,13.2,888,0,1,,0,5,5128,15,16,0,interval
18,Y,0,10,13.4,1822,0,1,,0,5,6950,15,16,0,interval
18,Y,0,11,13.2,1995,0,1,,0,5,8945,15,16,0,interval
18,Y,0,12,13.3,1638,0,1,,0,5,10583,15,16,0,interval
18,Y,0,13,13.5,541,0,1,,0,5,11124,15,16,0,interval
18,Y,0,14,13.5,847,0,1,,0,5,11971,15,16,0,interval
18,Y,0,15,13.6,753,1,1,,0,10,12724,15,16,0,interval
19,Y,0,0,4.5,0,0,1,,0,0,0,15,16,0,interval
19,Y,0,1,8.1,0,0,1,,0,0,0,15,16,0,interval
19,Y,0,2,10.5,0,0,1,,0,0,0,15,16,0,interval
19,Y,0,3,12.1,0,0,1,,0,0,0,15,16,0,interval
19,Y,0,4,12.9,46,0,1,,0,0,46,15,16,0,interval
19,Y,0,5,13.2,881,0,1,,0,4,927,15,16,0,interval
19,Y,0,6,13.8,1055,0,1,,0,17,1982,15,16,0,interval
19,Y,0,7,13.7,1103,0,1,,0,17,3085,15,16,0,interval
19,Y,0,8,14.1,972,0,1,,0,22,4057,15,16,0,interval
19,Y,0,9,14,437,0,1,,0,22,4494,15,16,0,interval
19,Y,0,10,14.3,788,0,1,,0,22,5282,15,16,0,interval
19,Y,0,11,14.6,781,0,1,,0,22,6063,15,16,0,interval
19,Y,0,12,14.9,135,0,1,,0,22,6198,15,16,0,interval
19,Y,0,13,15.3,97,0,1,,0,22,6295,15,16,0,interval
19,Y,0,14,15.2,555,0,1,,0,22,6850,15,16,0,interval
19,Y,0,15,15.4,385,1,1,,0,22,7235,15,16,0,interval
20,Y,0,0,4.1,0,0,1,,0,0,0,15,16,0,interval
20,Y,0,1,7.2,0,0,1,,0,0,0,15,16,0,interval
20,Y,0,2,10.7,0,0,1,,0,0,0,15,16,0,interval
20,Y,0,3,12,0,0,1,,0,0,0,15,16,0,interval
20,Y,0,4,12.3,49,0,1,,0,0,49,15,16,0,interval
20,Y,0,5,12.8,205,0,1,,0,0,254,15,16,0,interval
20,Y,0,6,13,972,0,1,,0,0,1226,15,16,0,interval
20,Y,0,7,13.5,1454,0,1,,0,0,2680,15,16,0,interval
20,Y,0,8,13.4,743,0,1,,0,0,3423,15,16,0,interval
20,Y,0,9,13.6,673,0,1,,0,0,4096,15,16,0,interval
20,Y,0,10,13.9,1166,0,1,,0,0,5262,15,16,0,interval
20,Y,0,11,13.7,413,0,1,,0,0,5675,15,16,0,interval
20,Y,0,12,14.2,701,0,1,,0,0,6376,15,16,0,interval
20,Y,0,13,14.2,285,0,1,,0,0,6661,15,16,0,interval
20,Y,0,14,14.1,677,0,1,,0,0,7338,15,16,0,interval
20,Y,0,15,14.5,642,1,1,,0,0,7980,15,16,0,interval
26,Y,2,0,3.7,0,0,1,,2.2,0,0,15,16,0,interval
26,Y,2,1,7.3,0,0,1,,4.5,0,0,15,16,0,interval
26,Y,2,2,9.3,0,0,1,,6.3,0,0,15,16,0,interval
26,Y,2,3,11,0,0,1,,7.3,0,0,15,16,0,interval
26,Y,2,4,11.6,20,0,1,,8,0,20,15,16,0,interval
26,Y,2,5,11.9,291,0,1,,8.8,0,311,15,16,0,interval
26,Y,2,6,12.2,319,0,1,,9.4,0,630,15,16,0,interval
26,Y,2,7,12,1464,0,1,,10.2,0,2094,15,16,0,interval
26,Y,2,8,12.2,271,0,1,,11,0,2365,15,16,0,interval
26,Y,2,9,12.3,198,0,1,,11.3,0,2563,15,16,0,interval
26,Y,2,10,12.2,205,0,1,,11.8,0,2768,15,16,0,interval
26,Y,2,11,12.1,115,0,1,,12.2,0,2883,15,16,0,interval
26,Y,2,12,12,489,0,1,,12.7,0,3372,15,16,0,interval
26,Y,2,13,12.1,167,0,1,,13.1,0,3539,15,16,0,interval
26,Y,2,14,12.5,213,0,1,,13.5,4,3752,15,16,0,interval
26,Y,2,15,12.5,416,1,1,,14,10,4168,15,16,0,interval
27,Y,2,0,4.3,0,0,1,2.5,0,0,0,10,11,3,interval
27,Y,2,1,7.2,0,0,1,5.6,0,0,0,10,11,3,interval
27,Y,2,2,9,0,0,1,6.6,0,0,0,10,11,3,interval
27,Y,2,3,10.1,0,0,1,7.6,0,0,0,10,11,3,interval
27,Y,2,4,10.3,5,0,1,8.3,0,0,5,10,11,3,interval
27,Y,2,5,10.6,635,0,1,9.5,0,0,640,10,11,3,interval
27,Y,2,6,10.6,510,0,1,9.9,0,19,1150,10,11,3,interval
27,Y,2,7,10.8,389,0,1,10.5,0,61,1539,10,11,3,interval
27,Y,2,8,10.5,219,0,1,11.2,0,95,1758,10,11,3,interval
27,Y,2,9,10.8,222,0,1,11.5,0,143,1980,10,11,3,interval
27,Y,2,10,10.9,229,1,1,12.1,0,179,2209,10,11,3,interval
27,Y,2,11,10.9,,,0,12.6,0,205,,10,11,3,interval
27,Y,2,12,,,,0,,,,,10,11,3,interval
27,Y,2,13,,,,0,,,,,10,11,3,interval
27,Y,2,14,,,,0,,,,,10,11,3,interval
27,Y,2,15,,,,0,,,,,10,11,3,interval
28,Y,2,0,4.5,0,0,1,2.2,0,0,0,12,13,3,interval
28,Y,2,1,7.7,0,0,1,4.5,0,0,0,12,13,3,interval
28,Y,2,2,9.8,0,0,1,5.7,0,0,0,12,13,3,interval
28,Y,2,3,10.5,0,0,1,7.3,0,0,0,12,13,3,interval
28,Y,2,4,11.4,0,0,1,7.9,0,0,0,12,13,3,interval
28,Y,2,5,11.7,236,0,1,8.9,0,0,236,12,13,3,interval
28,Y,2,6,11.8,482,0,1,9.5,0,0,718,12,13,3,interval
28,Y,2,7,12.1,600,0,1,9.9,0,0,1318,12,13,3,interval
28,Y,2,8,12.2,687,0,1,10.5,0,3,2005,12,13,3,interval
28,Y,2,9,12.4,1357,0,1,10.8,0,16,3362,12,13,3,interval
28,Y,2,10,12.6,115,0,1,11.6,0,16,3477,12,13,3,interval
28,Y,2,11,12.5,243,0,1,12.1,0,22,3720,12,13,3,interval
28,Y,2,12,12.6,31,1,1,12.8,0,22,3751,12,13,3,interval
28,Y,2,13,,,,0,,,,,12,13,3,interval
28,Y,2,14,,,,0,,,,,12,13,3,interval
28,Y,2,15,,,,0,,,,,12,13,3,interval
29,Y,2,0,4.4,0,0,1,2.4,0,0,0,12,13,3,interval
29,Y,2,1,6.7,0,0,1,5,0,0,0,12,13,3,interval
29,Y,2,2,9.1,0,0,1,6.4,0,0,0,12,13,3,interval
29,Y,2,3,10,0,0,1,7.4,0,0,0,12,13,3,interval
29,Y,2,4,10.5,16,0,1,8,0,0,16,12,13,3,interval
29,Y,2,5,10.6,267,0,1,8.6,0,27,283,12,13,3,interval
29,Y,2,6,10.9,128,0,1,9.2,0,27,411,12,13,3,interval
29,Y,2,7,11.2,694,0,1,9.8,0,27,1105,12,13,3,interval
29,Y,2,8,11.3,340,0,1,10.5,0,44,1445,12,13,3,interval
29,Y,2,9,11.2,687,0,1,10.8,0,63,2132,12,13,3,interval
29,Y,2,10,11.3,621,0,1,11.2,0,85,2753,12,13,3,interval
29,Y,2,11,11.3,267,0,1,11.5,0,95,3020,12,13,3,interval
29,Y,2,12,11.3,149,1,1,11.9,0,111,3169,12,13,3,interval
29,Y,2,13,11.3,,,0,12.4,0,115,,12,13,3,interval
29,Y,2,14,,,,0,,,,,12,13,3,interval
29,Y,2,15,,,,0,,,,,12,13,3,interval
30,Y,2,0,3.6,0,0,1,2.5,0,0,0,8,9,3,interval
30,Y,2,1,6.1,0,0,1,5.7,0,0,0,8,9,3,interval
30,Y,2,2,9.2,0,0,1,7.2,0,0,0,8,9,3,interval
30,Y,2,3,10.3,0,0,1,8.2,0,0,0,8,9,3,interval
30,Y,2,4,10.3,27,0,1,8.7,0,0,27,8,9,3,interval
30,Y,2,5,10.3,246,0,1,9.7,0,0,273,8,9,3,interval
30,Y,2,6,10.3,232,0,1,10.5,0,0,505,8,9,3,interval
30,Y,2,7,10.4,132,0,1,11.4,0,0,637,8,9,3,interval
30,Y,2,8,10.2,34,1,1,12.1,0,64,671,8,9,3,interval
30,Y,2,9,,,,0,,,,,8,9,3,interval
30,Y,2,10,,,,0,,,,,8,9,3,interval
30,Y,2,11,,,,0,,,,,8,9,3,interval
30,Y,2,12,,,,0,,,,,8,9,3,interval
30,Y,2,13,,,,0,,,,,8,9,3,interval
30,Y,2,14,,,,0,,,,,8,9,3,interval
30,Y,2,15,,,,0,,,,,8,9,3,interval
31,Y,2,0,3.9,0,0,1,2.5,0,0,0,8,9,3,interval
31,Y,2,1,7.1,0,0,1,5,0,0,0,8,9,3,interval
31,Y,2,2,9.4,0,0,1,6.5,0,0,0,8,9,3,interval
31,Y,2,3,10.5,0,0,1,7.5,0,0,0,8,9,3,interval
31,Y,2,4,11,3,0,1,8.4,0,0,3,8,9,3,interval
31,Y,2,5,11.1,281,0,1,9.5,0,0,284,8,9,3,interval
31,Y,2,6,11.1,128,0,1,11,0,0,412,8,9,3,interval
31,Y,2,7,11,878,0,1,11.4,0,0,1290,8,9,3,interval
31,Y,2,8,11,271,1,1,12.2,0,0,1561,8,9,3,interval
31,Y,2,9,11,,,0,13,0,0,,8,9,3,interval
31,Y,2,10,,,,0,,,,,8,9,3,interval
31,Y,2,11,,,,0,,,,,8,9,3,interval
31,Y,2,12,,,,0,,,,,8,9,3,interval
31,Y,2,13,,,,0,,,,,8,9,3,interval
31,Y,2,14,,,,0,,,,,8,9,3,interval
31,Y,2,15,,,,0,,,,,8,9,3,interval
32,Y,2,0,4.4,0,0,1,2.4,0,0,0,9,10,3,interval
32,Y,2,1,6.5,0,0,1,5.2,0,0,0,9,10,3,interval
32,Y,2,2,8.9,0,0,1,6.8,0,0,0,9,10,3,interval
32,Y,2,3,10.2,0,0,1,8.3,0,0,0,9,10,3,interval
32,Y,2,4,10.4,9,0,1,8.8,0,0,9,9,10,3,interval
32,Y,2,5,10.7,243,0,1,10.3,0,0,252,9,10,3,interval
32,Y,2,6,10.6,642,0,1,11,0,0,894,9,10,3,interval
32,Y,2,7,10.7,375,0,1,11.6,0,0,1269,9,10,3,interval
32,Y,2,8,10.7,538,0,1,12.3,0,0,1807,9,10,3,interval
32,Y,2,9,10.6,291,1,1,12.6,0,0,2098,9,10,3,interval
32,Y,2,10,,,,0,,,,,9,10,3,interval
32,Y,2,11,,,,0,,,,,9,10,3,interval
32,Y,2,12,,,,0,,,,,9,10,3,interval
32,Y,2,13,,,,0,,,,,9,10,3,interval
32,Y,2,14,,,,0,,,,,9,10,3,interval
32,Y,2,15,,,,0,,,,,9,10,3,interval
33,Y,2,0,3.8,0,0,1,2.3,0,0,0,12,13,3,interval
33,Y,2,1,6.8,0,0,1,5,0,0,0,12,13,3,interval
33,Y,2,2,9.3,0,0,1,6.8,0,0,0,12,13,3,interval
33,Y,2,3,10.8,0,0,1,7.7,0,0,0,12,13,3,interval
